Wave Vector	Branch 1	Branch 2	Branch 3	Branch 4	Branch 5	Branch 6	Branch 7	Branch 8	Branch 9	Branch 10	Branch 11	Branch 12	Branch 13	Branch 14	Branch 15	Branch 16	Branch 17	Branch 18	Branch 19	Branch 20	Branch 21	Branch 22	Branch 23	Branch 24	Branch 25	Branch 26	Branch 27	Branch 28	Branch 29	Branch 30	Branch 31	Branch 32	Branch 33	Branch 34	Branch 35	Branch 36	Branch 37	Branch 38	Branch 39	Branch 40	Branch 41	Branch 42	Branch 43	Branch 44	Branch 45
0.0000000	-0.0091353407	-0.0089390938	-0.0062995142	1.172361022	1.6868252006	2.1429276839	2.2352187505	3.4603803545	3.5362940756	3.6303223044	3.9185616449	4.187241894	4.380566975	5.3801234939	6.4959840894	6.9065840254	7.0233710273	7.5986765146	8.087208454	8.8777106272	9.207415854	10.1891265666	10.3169214603	12.0729347214	12.6319051161	12.8587388076	13.2935151937	13.4807936877	14.2515643881	14.3317688941	14.4541592441	15.0207829276	15.3684703924	15.4036987586	16.8511104412	17.3274280082	17.7583164228	18.3457052992	18.9358091441	19.563325348	19.7691151485	20.1365547226	20.5283068002	20.8329682624	21.3206325215
0.0057492	-0.2417246916	0.0121245037	0.3512313183	1.186410694	1.7040649325	2.1492829381	2.2466989941	3.4700404534	3.5347099292	3.6404736426	3.9217541121	4.1921728783	4.3837274299	5.3999026853	6.4903280571	6.892998083	7.0453352696	7.605738291	8.0910424019	8.8933422088	9.2116621704	10.1882027027	10.31991857	12.0722944215	12.6254491218	12.8527424058	13.2548143644	13.5097923598	14.2545372748	14.3443879615	14.4567951163	15.0192042473	15.3645273126	15.4193973765	16.8597882845	17.3271850461	17.7586369903	18.3361519227	18.9336050974	19.5102878428	19.818242045	20.1164203558	20.5212535982	20.8432984672	21.3286767618
0.0114984	-0.3215564649	0.0757740131	0.6058512513	1.2264629992	1.7525017488	2.1679468179	2.2815171645	3.491886235	3.5360567741	3.6686134348	3.9318751882	4.2072459807	4.3944825224	5.4572803574	6.4746254956	6.8658121106	7.095665076	7.6266310207	8.1047789751	8.9382051783	9.2246849239	10.1859981887	10.3286459756	12.0705185191	12.6065823616	12.8330238789	13.1784472873	13.5594485606	14.2620228896	14.3764339768	14.4689637423	15.0183739758	15.3607125863	15.4544215416	16.8866061359	17.3264332697	17.7598167603	18.3085909609	18.9254734063	19.4068860636	19.9096994312	20.0616491273	20.5031434956	20.8656291532	21.3540669889
0.0172477	-0.3815075208	0.1713676845	0.8637841784	1.2888540006	1.8229347895	2.2004257833	2.3384492879	3.5012954984	3.5599245086	3.7108511142	3.9500072733	4.2335071072	4.4163153686	5.5464427737	6.4526637646	6.8356242164	7.1582820569	7.6607580832	8.1339197989	9.0067100231	9.2476273535	10.1839939751	10.3425471968	12.0679091267	12.576742907	12.7948370065	13.1006700207	13.6002035503	14.2706752236	14.406438439	14.5073312647	15.0265917331	15.3601301909	15.4966819164	16.9335671494	17.325049959	17.7624334726	18.2661555133	18.9069586009	19.2887339472	19.9823364714	20.0103752288	20.4784474625	20.8841855922	21.3989445602
0.0229969	-0.4207456233	0.294248479	1.1128120865	1.3755231249	1.9023593832	2.2519170396	2.413060966	3.4976437796	3.6002570452	3.7622437607	3.976594403	4.2734265716	4.453641918	5.6575354383	6.4311661365	6.8038200773	7.2243515597	7.7078420871	8.1843386038	9.0900399673	9.2837402964	10.1842092284	10.361187177	12.064567316	12.5381580317	12.7338161168	13.0361729032	13.6246644874	14.2759116422	14.4207185435	14.5792170942	15.05101311	15.3623652484	15.5376356823	17.0027928262	17.3227022289	17.767048679	18.2139433156	18.8706931222	19.164288012	19.8995990141	20.104469429	20.4501774493	20.8889408934	21.4630658735
0.0287461	-0.432975469	0.4369384684	1.3181856482	1.5119579977	1.9795512226	2.326295101	2.4997811523	3.493219525	3.6426522941	3.8143643335	4.0107749011	4.3311362851	4.5095792295	5.7752668376	6.421579861	6.7698703713	7.287591703	7.7681821099	8.2591122464	9.1746264973	9.3410476216	10.188988996	10.3845055612	12.0598969187	12.4936677477	12.6523867292	12.9873021852	13.6316215516	14.2728916317	14.4290294799	14.669005032	15.0946860356	15.3671675256	15.5710477387	17.0944660202	17.3189976755	17.773040885	18.1599945925	18.806356112	19.0396473767	19.8196392521	20.1899201453	20.4241496134	20.87776334	21.5428312493
0.0344953	-0.4087998803	0.5922766752	1.4492726706	1.7185073924	2.0544704656	2.4183166989	2.5941090083	3.4926014582	3.6857591764	3.858699346	4.051137888	4.4097242059	4.5843192446	5.8766602577	6.4425346711	6.7337205899	7.3450233558	7.8419475257	8.3565420748	9.2454581674	9.4294274988	10.2008865744	10.4129407632	12.0520532904	12.4463178757	12.5596063487	12.9486116827	13.6220012436	14.2586021635	14.4362088278	14.7664181314	15.155944695	15.3745826701	15.5936522634	17.2013877499	17.316442676	17.7763813672	18.1179864886	18.7041471949	18.9212757041	19.753285546	20.2425135888	20.4209479972	20.8530900377	21.6333695849
0.0402446	-0.3270494718	0.7541972588	1.548240086	1.9306239307	2.1481465083	2.5148687357	2.6929490392	3.498740153	3.7307032684	3.892766726	4.0978972034	4.5066041303	4.6757372933	5.937621211	6.5112894497	6.6986965718	7.3976274613	7.9282828391	8.4703396993	9.301479531	9.5451197548	10.2224315471	10.447577459	12.0374734971	12.3970737196	12.4672171519	12.9143958668	13.5978510178	14.2322684033	14.4413975771	14.8668616525	15.2288387109	15.3857564119	15.6052386458	17.2668240911	17.3578344062	17.7721805602	18.1076362593	18.5653531997	18.809131751	19.7055490389	20.2342820218	20.4654486866	20.8196770512	21.7304794226
0.0459938	0.0379782647	0.9177873986	1.6386061738	2.0777171358	2.3067707023	2.6068927739	2.7922416012	3.5135024045	3.7763574144	3.9203648155	4.1541991436	4.6133788779	4.78114076	5.9555101237	6.5891821472	6.7038663929	7.4488260361	8.0253770763	8.5915719392	9.3503336359	9.6756596029	10.2556263282	10.4904034814	12.0109444127	12.3343792292	12.3976063925	12.8814200212	13.5619104404	14.1938612226	14.4425168359	14.9666694831	15.3012799298	15.4071039715	15.6086700884	17.2540962432	17.4412085774	17.7820475523	18.1396950534	18.4028066867	18.7000967133	19.6769433628	20.1874020392	20.5279561658	20.7867338373	21.8310947252
0.0517430	0.4075721164	1.078990964	1.726005766	2.1701819099	2.5024023525	2.7037724141	2.8855823482	3.5366738507	3.8180488528	3.9489410686	4.2242432929	4.7205674184	4.8978271149	5.9484468925	6.5696334279	6.8367745296	7.5022452149	8.1310939637	8.7111070693	9.3962199492	9.8116180416	10.3011479138	10.5446234089	11.9670883366	12.2541286765	12.3630492341	12.8484163334	13.5172376174	14.1433516539	14.4380638126	15.058950325	15.3533702873	15.4521359194	15.6130139577	17.22155556	17.4454191809	17.8629434532	18.1800631721	18.2484956918	18.6059772175	19.664860115	20.1240992446	20.5650966287	20.7770724596	21.9330191696
