Wave Vector	Branch 1	Branch 2	Branch 3	Branch 4	Branch 5	Branch 6	Branch 7	Branch 8	Branch 9	Branch 10	Branch 11	Branch 12	Branch 13	Branch 14	Branch 15	Branch 16	Branch 17	Branch 18	Branch 19	Branch 20	Branch 21	Branch 22	Branch 23	Branch 24	Branch 25	Branch 26	Branch 27	Branch 28	Branch 29	Branch 30	Branch 31	Branch 32	Branch 33	Branch 34	Branch 35	Branch 36	Branch 37	Branch 38	Branch 39	Branch 40	Branch 41	Branch 42	Branch 43	Branch 44	Branch 45	Branch 46	Branch 47	Branch 48	Branch 49	Branch 50	Branch 51	Branch 52	Branch 53	Branch 54	Branch 55	Branch 56	Branch 57	Branch 58	Branch 59	Branch 60	Branch 61	Branch 62	Branch 63	Branch 64	Branch 65	Branch 66	Branch 67	Branch 68	Branch 69	Branch 70	Branch 71	Branch 72	Branch 73	Branch 74	Branch 75	Branch 76	Branch 77	Branch 78	Branch 79	Branch 80	Branch 81	Branch 82	Branch 83	Branch 84	Branch 85	Branch 86	Branch 87	Branch 88	Branch 89	Branch 90
0.0000000	-0.0141396458	-0.010369913	-0.0095651531	1.4790682954	1.5875879798	2.2437241831	2.5628808882	2.670623575	2.9157344122	3.5063677441	3.5883645151	3.7626193914	4.1252839221	4.25923789	4.4158062083	4.7046026755	4.9067403257	5.1606785557	5.5208471413	5.725324642	5.9039994646	6.1782694712	6.4480511317	6.5905251187	6.7925746337	6.9053667337	7.249954185	7.4721066211	7.6445564248	7.703472093	7.8553890269	8.2142847589	8.2510638991	8.5416152686	8.6175109379	9.0290686839	9.153760901	9.2748410429	9.7669345399	10.1212424662	10.1924421831	10.6520423483	11.1451468215	11.3439753039	11.4549563535	11.855847399	12.0355018275	12.276072503	12.5540054114	12.8261999665	13.1249196199	13.4739029413	13.7489538396	14.1695949519	14.4326735828	14.5205642769	14.7371355965	15.0114790631	15.2697023265	15.7599779477	15.895084928	16.14913636	16.4921966121	16.9875473583	17.3569794526	17.8272040156	18.1466530515	18.9345306849	19.7985878741	20.1797394778	21.2412190515	21.5234106835	22.2464788284	22.5192850233	23.2293364511	24.0965793712	24.9137253265	25.2641595273	25.4546921515	25.6087270443	25.9256978086	26.4799791885	26.9126352448	27.4671069839	27.9645662116	28.9438652861	29.8946835983	30.4303753919	30.7601312732	34.6631341069
0.0040526	-0.2729302853	-0.0629736636	0.2967955403	1.4738984942	1.5897699171	2.2507215349	2.564233163	2.6719729748	2.9221330551	3.4991305269	3.5970420597	3.7630245862	4.1273644813	4.2632829128	4.4116222337	4.7064516144	4.9085103262	5.166465039	5.5214423136	5.7243841545	5.9041414601	6.1773629405	6.4459059359	6.5904753532	6.7901964772	6.9102295091	7.2502483499	7.472651973	7.6486738082	7.7033428041	7.8597090725	8.2128374506	8.2478980899	8.5505251021	8.6238263726	9.0277815013	9.1541830323	9.2750735301	9.7665728909	10.1182632621	10.1974150178	10.651774131	11.1455566719	11.3415381879	11.4556646995	11.8549616167	12.033675551	12.2744583998	12.5523795105	12.8273857428	13.1236062873	13.4735471479	13.7499237489	14.1702688496	14.4322127661	14.5202438324	14.7387705754	15.010783204	15.2700911504	15.7579354734	15.8953438156	16.1512472152	16.4926627808	16.9854135975	17.3621042576	17.8157211344	18.1582785234	18.9393340113	19.7972860536	20.1785457005	21.2404171759	21.5232998373	22.2466263645	22.5205197014	23.2296716728	24.0971577172	24.9139417961	25.2610780789	25.4565076463	25.6096334011	25.9266684185	26.4806009304	26.9141918712	27.4686157601	27.9655670344	28.9442297476	29.8967325043	30.434632595	30.7620425393	34.6632382654
0.0081052	-0.4009689251	-0.0787228476	0.4523140915	1.4633417777	1.5926392516	2.2720394781	2.5673783819	2.6762946502	2.9415583407	3.4827376318	3.6174324091	3.7643891758	4.1331915409	4.2744961837	4.4013122984	4.7101938468	4.9150312115	5.1826449117	5.5232688547	5.721522667	5.9048389085	6.1747251436	6.4399346154	6.5902393151	6.7836970869	6.9235983541	7.2510487748	7.4740371906	7.6599574635	7.7046362658	7.8721058232	8.2088222511	8.2413759183	8.5721898686	8.6439695838	9.0241022534	9.1553724487	9.2762009362	9.7654068865	10.1115971666	10.2099787143	10.651102678	11.146723441	11.334454089	11.4575475868	11.8520891866	12.0285012099	12.2696095761	12.5478936811	12.8305747378	13.1198175498	13.4725019866	13.752916243	14.1722095826	14.4309464229	14.5193685677	14.7435089046	15.0087694194	15.2713158434	15.7521427342	15.8960235066	16.1573375543	16.4938869249	16.9798572973	17.376708713	17.7861804101	18.1879675783	18.9539634248	19.793425947	20.1749927283	21.2379588237	21.5230024946	22.2470585284	22.524212162	23.230656295	24.0988797073	24.9144003811	25.252173945	25.461785223	25.6124514272	25.9295324113	26.4822998071	26.9187886818	27.4731364501	27.9684790943	28.9454597721	29.9028611707	30.4472792065	30.7677864798	34.6635298231
0.0121579	-0.5245980529	0.0705303575	0.5899571696	1.4537436859	1.5938238243	2.3075762324	2.570523562	2.6842822686	2.9742951633	3.4634491718	3.6420716757	3.7673733303	4.1415776648	4.2894013305	4.3914181495	4.7122556259	4.9285546983	5.2062048846	5.5264601745	5.7167294201	5.9068016706	6.1706117881	6.4312908201	6.5895815947	6.7742852601	6.9427387476	7.2521641381	7.4757211699	7.6735854202	7.7132606074	7.8913781245	8.2039827354	8.2365927384	8.5969398002	8.678956778	9.0187608125	9.1571198748	9.2794074697	9.7632303307	10.1046882697	10.2264280471	10.650415529	11.1484573546	11.3232669236	11.4600237106	11.8465973851	12.020883087	12.2615657174	12.5414971954	12.8348026228	13.1140295636	13.4708297281	13.7581606181	14.1751704454	14.4291771168	14.5182229458	14.7508626866	15.0056597724	15.2735426834	15.7434500037	15.8969140486	16.1667418357	16.4954023537	16.9729801218	17.3988829979	17.7474356179	18.2261251948	18.9789817931	19.7871398493	20.1691662315	21.2337041259	21.5226097836	22.2477481927	22.530321015	23.2322292254	24.1017053962	24.9144920592	25.2384918312	25.4700747478	25.6174001798	25.9341647586	26.484609144	26.9262201034	27.480631315	27.9730523899	28.9479324134	29.9130130399	30.467954045	30.7773962208	34.6639477037
0.0162105	-0.6449956432	0.1806157299	0.7112986899	1.4425456718	1.6021901106	2.3547980886	2.5729113199	2.6969825789	3.0198670735	3.4441751329	3.6653844785	3.7736891065	4.1506782559	4.3006829242	4.3926900075	4.7105779893	4.949801651	5.2332476881	5.531250908	5.7103032879	5.9109008973	6.165480526	6.4212640212	6.588229747	6.762982298	6.9646302706	7.2534490923	7.4773372489	7.6825554852	7.7364659335	7.9163645795	8.2019224282	8.2362745761	8.6200593417	8.7237364545	9.0136310337	9.1591695324	9.2863176642	9.7598068646	10.0995302725	10.2443080203	10.6503173762	11.1504320006	11.308602479	11.462433601	11.8375332817	12.0122359925	12.250546522	12.534194478	12.8388164148	13.107084066	13.4686245125	13.7659819525	14.1787314787	14.4272930655	14.5173311419	14.7600539569	15.001830531	15.2770212197	15.7328971683	15.8978474902	16.1785146287	16.4966100126	16.9672604247	17.4263562831	17.7060375747	18.2652771632	19.0150210178	19.7786366507	20.1612111887	21.2274749533	21.5222307355	22.2486622389	22.538757689	23.2342952188	24.1055657423	24.913095516	25.2218431993	25.4807728857	25.6246401158	25.9404069623	26.486852643	26.936178383	27.4909804006	27.9789344209	28.9521751647	29.9270869898	30.4960922391	30.7909381217	34.6643955708
0.0202631	-0.7567408237	0.2762373837	0.8131951487	1.4206938333	1.6337226041	2.4074200574	2.5759864134	2.7165458418	3.0765010823	3.4265578248	3.681828179	3.7859043145	4.1581801654	4.3038885616	4.4128049565	4.7057668273	4.977124253	5.2596554751	5.5379107095	5.7031610191	5.9178238057	6.1600162739	6.410756699	6.5860746134	6.7506018473	6.9863626135	7.2549862581	7.4789848663	7.6887403385	7.7711258854	7.9460567405	8.2062697057	8.2415999841	8.6412097228	8.7681542586	9.0127304659	9.1613959392	9.2985248315	9.7549831448	10.0970065786	10.262071337	10.6515641026	11.1521474691	11.2910830031	11.4641865676	11.8239466647	12.0041651035	12.2370607359	12.5266036127	12.8413702704	13.10017721	13.4660103157	13.7767331964	14.1823002691	14.4256914049	14.5174337379	14.7700556186	14.9978272559	15.2820461524	15.72143903	15.8988002624	16.1915766619	16.4970087263	16.964846453	17.4570391152	17.6658272919	18.3008737552	19.0623968505	19.768187527	20.1513360834	21.2191179611	21.521945202	22.2497740018	22.5493651276	23.2367340196	24.1103595476	24.9085021543	25.2048294467	25.4932512269	25.6341059424	25.948111805	26.4882753183	26.9482763524	27.5039330421	27.9857456234	28.9587419239	29.9449304849	30.5309529208	30.8085361225	34.6647495764
0.0243157	-0.8558860339	0.3671239721	0.8942723816	1.3886292194	1.6937618344	2.4551283006	2.5830524625	2.7476609448	3.1410160519	3.4119449665	3.6883685546	3.804319655	4.162053885	4.3063266864	4.4468199563	4.6999756867	5.0076899712	5.2816238657	5.5465036526	5.696978899	5.9277748876	6.1551062406	6.4000668012	6.5833391479	6.7378952586	7.0052432233	7.2571073307	7.4810893097	7.6962643148	7.8104751116	7.9794972617	8.2194306264	8.2537978989	8.6600494628	8.8011436878	9.0223717184	9.1640431426	9.3171122997	9.7487771402	10.097411327	10.2786114718	10.6549623274	11.1528214874	11.2714559311	11.4647718804	11.8054574583	11.9978734214	12.2219178404	12.5187776479	12.841470625	13.0947145239	13.4631493285	13.7907244691	14.1851417329	14.4247820089	14.5193440552	14.7796426717	14.9943744877	15.2889141486	15.7098134567	15.8999192361	16.2048123265	16.4964279992	16.9671931666	17.4891780185	17.6290570748	18.3305414255	19.1207717314	19.7561112623	20.1398210545	21.2085605477	21.5217662778	22.2510724079	22.5619004959	23.2394118079	24.1159502088	24.8985674746	25.1906125426	25.5069447609	25.6454309702	25.9571714521	26.4881875932	26.9620428095	27.5190946408	27.9931504193	28.9680852478	29.9663351632	30.5716123494	30.8304208606	34.6648683671
0.0283684	-0.9401931276	0.4530619707	0.9553246886	1.3582783347	1.775472723	2.4878905068	2.5961341913	2.7967719776	3.2085550487	3.4019290605	3.6869403853	3.8250018114	4.1621821607	4.3150782448	4.4873578934	4.6958566363	5.0386443224	5.29641039	5.5565465632	5.6939927927	5.9402659118	6.1517098658	6.3890734364	6.5805622863	6.7256105299	7.0190957814	7.260048548	7.4841007282	7.7071391262	7.849144292	8.0158173007	8.2422535352	8.2745476623	8.6756687681	8.8158975294	9.0462738689	9.1680198838	9.3423178893	9.7414169041	10.1007243584	10.2931153987	10.6612334122	11.1511197015	11.2509546578	11.4637070668	11.7827169953	11.9936235281	12.2061594519	12.5102843738	12.8386112909	13.0920066366	13.4602531143	13.8081580488	14.1864647765	14.4250432686	14.5237115998	14.7874858817	14.9923310307	15.2978864641	15.6985292802	15.9015036747	16.217120904	16.4951687526	16.9749560602	17.5211327003	17.5973441179	18.3534489327	19.1890353075	19.7427633738	20.1270335724	21.1958423968	21.5216266591	22.2525648779	22.5760279406	23.2421937837	24.1221628712	24.8813590243	25.1821757813	25.5213884729	25.6579755921	25.9675248301	26.4860908917	26.9768917248	27.5359671549	28.0009034304	28.9804540015	29.991037138	30.6168977665	30.8570146448	34.6646045876
0.0324210	-1.0085295279	0.5307393202	0.9983619079	1.3447063341	1.8696647973	2.5062352762	2.6117331692	2.8660439145	3.2711247995	3.3996652486	3.6817926184	3.8436101398	4.1608279162	4.3311164997	4.5291720841	4.6966394963	5.067434494	5.3030900525	5.5670753673	5.6963266568	5.9540157376	6.1505822731	6.3777495214	6.578343144	6.7145147489	7.0267723337	7.2633175562	7.4884427878	7.7222560001	7.8834884818	8.0539957357	8.2731469896	8.3062258178	8.6870991034	8.8157103725	9.078743451	9.1754742856	9.3733419121	9.7333308278	10.1067683914	10.3050805279	10.6708590212	11.1447065216	11.2318614657	11.4604811395	11.7573494231	11.9906642524	12.1909814674	12.5004349533	12.8329418149	13.0929198981	13.4575819628	13.829071085	14.1855860921	14.4270127132	14.5308147845	14.7923468102	14.9925218933	15.309162827	15.6879262059	15.9039626048	16.2274604299	16.4939741638	16.9880595265	17.5483444006	17.5750149994	18.3697671659	19.2654232881	19.7285347118	20.1134587707	21.181116661	21.5213923482	22.2542741957	22.5913237932	23.2449566079	24.1287823796	24.8561315596	25.1812694464	25.5362053392	25.6709279297	25.9791482332	26.4817568433	26.9920891889	27.5540357631	28.0088599293	28.9958368296	30.0187225186	30.665263451	30.889046718	34.6638170163
0.0364736	-1.0603479803	0.5944437785	1.0300021245	1.358927229	1.9684941557	2.5184531809	2.6265963461	2.9502440171	3.3150757135	3.4119963699	3.6778455068	3.8583866441	4.160735378	4.3524313392	4.5667055237	4.7069769956	5.0917139031	5.3027283716	5.5774538614	5.705058834	5.9670859629	6.1518356208	6.3667544762	6.576986764	6.7053922551	7.0284768914	7.2653319559	7.4946869841	7.7414134855	7.9129651211	8.0921957528	8.3090333874	8.3501733348	8.6938905259	8.8091151831	9.1085336899	9.190453116	9.4082831614	9.7251019592	10.1153002996	10.3143723944	10.6839491095	11.1305184525	11.2173490274	11.4545353734	11.7314678835	11.9875664424	12.1776712652	12.4885566501	12.8252058232	13.0976965971	13.4554228742	13.8532825449	14.1821490786	14.431131461	14.5405056775	14.7933789689	14.9954442712	15.3228600402	15.6782708661	15.9077497977	16.2349311483	16.4938207021	17.0058735311	17.543487644	17.5890799918	18.380187592	19.3477098831	19.7138723749	20.099758823	21.164627127	21.520895621	22.2562319112	22.6072931371	23.2475993946	24.13555225	24.8237536835	25.187933159	25.5510635513	25.6834330812	25.9920341547	26.4752469894	27.006749417	27.5728701694	28.0169536785	29.0139586094	30.0490366404	30.7146869452	30.9276262483	34.6623824273
