Dataset_ID,A_GHz,B_GHz,C_GHz,Dipole_Debye,Polarizability_Bohr3,HOMO_Hartree,LUMO_Hartree,Gap_Hartree,R2_Bohr2,ZPVE_Hartree,U_298K_Hartree,H_298K_Hartree,G_298K_Hartree,Cv_cal_mol_K,SMILES,InChI
gdb_1,157.7118,157.70997,157.70699,0.,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749,-40.47893,-40.476062,-40.475117,-40.498597,C,InChI=1S/CH4/h1H4
gdb_2,293.60975,293.54111,191.39397,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,0.034358,-56.525887,-56.523026,-56.522082,-56.544961,N,InChI=1S/H3N/h1H3
gdb_3,799.58812,437.90386,282.94545,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,-76.404702,-76.401867,-76.400922,-76.422349,O,InChI=1S/H2O/h1H2
gdb_4,0.,35.6100361,35.6100361,0.,16.28,-0.2845,0.0506,0.3351,59.5248,0.026841,-77.308427,-77.305527,-77.304583,-77.327429,C#C,InChI=1S/C2H2/c1-2/h1-2H
gdb_5,0.,44.593883,44.593883,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,0.016601,-93.411888,-93.40937,-93.408425,-93.431246,C#N,InChI=1S/CHN/c1-2/h1H
gdb_6,285.48839,38.9823,34.29892,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,0.026603,-114.483613,-114.480746,-114.479802,-114.505268,C=O,InChI=1S/CH2O/c1-2/h1H2
gdb_7,80.46225,19.90649,19.90633,0.,23.95,-0.3385,0.1041,0.4426,109.5031,0.074542,-79.764152,-79.760666,-79.759722,-79.787269,CC,InChI=1S/C2H6/c1-2/h1-2H3
gdb_8,127.83497,24.85872,23.97872,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,0.051208,-115.679136,-115.675816,-115.674872,-115.701876,CO,"InChI=1S/CH4O/c1-2/h2H,1H3"
gdb_9,160.28041,8.59323,8.59321,0.7156,28.78,-0.2609,0.0613,0.3222,177.1963,0.05541,-116.609549,-116.60555,-116.604606,-116.633775,CC#C,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
gdb_10,159.03567,9.22327,9.22324,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,0.045286,-132.71815,-132.714563,-132.713619,-132.742149,CC#N,InChI=1S/C2H3N/c1-2-3/h1H3
gdb_11,57.22434,10.11122,9.07368,2.5682,25.11,-0.254,-0.0198,0.2342,166.9728,0.055355,-153.787612,-153.783728,-153.782784,-153.812518,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
gdb_12,73.8472,11.34793,9.83639,3.7286,21.57,-0.2543,0.0302,0.2845,145.3078,0.045279,-169.860788,-169.856903,-169.855958,-169.885594,NC=O,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"
