,,,,,24,6.5,H,,,"2 
2",4,,,,,,
,Table  S6.  Parameters  of  the  angular  structural  descriptors  S4 (see  Eq.  S9)  used  to  describe  the,,,,,,,,,,,,,,,,
atomic environment. p is the power parameter. Also see Table S5 caption for explanations.,,,,,,,,,,,,,,,,,
No.,rc,nb1,nb2,n  m,,p,ζ,λ,No.,rc,nb1,nb2,n  m,,p,ζ,λ
1,3.0,H,H,2,2,8,4,1,25,4.5,H,H,2,8,8,8,1
2,3.0,H,H,2,2,8,4,-1,26,4.5,H,H,2,8,8,8,-1
3,3.0,H,Ti,2,2,8,4,1,27,4.5,H,Ti,2,8,8,8,1
4,3.0,H,Ti,2,2,8,4,-1,28,4.5,H,Ti,2,8,8,8,-1
5,3.0,Ti,Ti,2,2,8,4,1,29,4.5,Ti,Ti,2,8,8,8,1
6,3.0,Ti,Ti,2,2,8,4,-1,30,4.5,Ti,Ti,2,8,8,8,-1
7,3.0,O,O,2,2,8,4,1,31,4.5,O,O,2,8,8,8,1
8,3.0,O,O,2,2,8,4,-1,32,4.5,O,O,2,8,8,8,-1
