No.,rc,nb,n
1,1.9,H,8
2,2.3,H,2
3,2.8,H,4
4,2.6,Ti,8
5,3.0,Ti,2
6,3.6,Ti,4
7,2.0,O,8
8,2.4,O,2
9,2.8,O,4
10,2.6,All,-3
11,3.5,All,-3
12,4.5,All,-3
13,2.6,All,2
14,3.2,All,2
15,4.0,All,2
16,5.0,All,2
17,7.0,All,2
18,2.2,H,2
19,3.0,H,2
20,4.0,H,2
21,5.0,H,2
22,6.0,H,2
23,2.0,H,8
24,3.0,H,8
25,4.0,H,8
26,5.0,H,8
27,6.0,H,8
28,2.6,Ti,2
29,3.0,Ti,2
30,4.0,Ti,2
31,5.5,Ti,2
32,7.0,Ti,2
33,2.5,Ti,8
34,3.0,Ti,8
35,4.0,Ti,8
36,5.5,Ti,8
37,7.0,Ti,8
38,2.2,O,2
39,3.0,O,2
40,4.0,O,2
41,5.5,O,2
42,7.0,O,2
43,2.2,O,8
44,3.0,O,8
45,4.0,O,8
46,5.5,O,8
47,7.0,O,8
