No.,rc,nb1,nb2,L,n,m,p
1,2.8,H,H,2,2,2,2
2,2.8,H,H,6,2,2,2
3,2.8,H,Ti,2,2,2,2
4,2.8,H,Ti,6,2,2,2
5,2.8,H,O,2,2,2,2
6,2.8,H,O,6,2,2,2
7,2.8,O,O,2,2,2,2
8,2.8,O,O,6,2,2,2
9,2.8,Ti,Ti,2,2,2,2
10,2.8,Ti,Ti,6,2,2,2
11,2.8,Ti,O,2,2,2,2
12,2.8,Ti,O,6,2,2,2
13,3.5,H,H,2,2,4,4
14,3.5,H,H,6,2,4,4
15,4.5,H,H,2,1,8,4
16,4.5,H,H,6,1,8,4
17,3.5,H,Ti,2,2,4,4
18,3.5,H,Ti,6,2,4,4
19,4.5,H,Ti,2,1,8,4
20,4.5,H,Ti,6,1,8,4
21,3.5,Ti,Ti,2,2,4,4
22,3.5,Ti,Ti,6,2,4,4
23,4.5,Ti,Ti,2,1,8,4
24,4.5,Ti,Ti,6,1,8,4
25,3.5,Ti,O,2,2,4,4
26,3.5,Ti,O,6,2,4,4
27,4.5,Ti,O,2,1,8,4
28,4.5,Ti,O,6,1,8,4
29,3.5,O,O,2,2,4,4
30,3.5,O,O,6,2,4,4
31,4.5,O,O,2,1,8,4
32,4.5,O,O,6,1,8,4
33,3.5,H,O,2,2,4,4
34,3.5,H,O,6,2,4,4
35,4.5,H,O,2,1,8,4
36,4.5,H,O,6,1,8,4
