,input,output
0,COC(=O)CCC(=O)c1ccc(OC2CCCCO2)cc1O,C1=COCCC1.COC(=O)CCC(=O)c1ccc(O)cc1O
1,COC(=O)c1cccc(-c2nc3cccnc3[nH]2)c1,COC(=O)c1cccc(C(=O)O)c1.Nc1cccnc1N
2,CON(C)C(=O)C1CCC(NC(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)NC1CCC(C(=O)O)CC1.CNOC
3,O=[N+]([O-])c1ccc(Cl)nc1Nc1ccc(O)cc1,Nc1ccc(O)cc1.O=[N+]([O-])c1ccc(Cl)nc1Cl
4,NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,[N-]=[N+]=NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1
5,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)O)C1,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)OC(C)(C)C)C1
6,Cc1noc(C)c1NC(=O)Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,Cc1noc(C)c1N=C=O.Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1
7,Cc1cnc(N2CCN(C(=O)c3ccc(N4CCCS4(=O)=O)nc3C)CC2)c(C)c1,COC(=O)c1ccc(N2CCCS2(=O)=O)nc1C.Cc1cnc(N2CCNCC2)c(C)c1
8,C#CCCCCC(C)(C)c1cc(OC)cc(OC)c1,COc1cc(OC)cc(C(C)(C)CCCCC#C[Si](C)(C)C)c1
9,CCOC(=O)c1cn(C)c2c(C)c(C=O)sc2c1=O,CCOC(=O)c1c[nH]c2c(C)c(C=O)sc2c1=O.CI
10,CC(C)n1cnnc1-c1nc2c(s1)CCOc1cc(CNCCO)ccc1-2,CC(C)n1cnnc1-c1nc2c(s1)CCOc1cc(C=O)ccc1-2.NCCO
11,CCOC(=O)Cn1c(C)cc2c1CCC2,CC(=O)CC1CCCC1=O.CCOC(=O)CN
