beam,reactants_smiles,log_likelihood,n_reactants,reactant_1,reactant_2,valid_smiles
1,Oc1ccc2[nH]ccc2c1,-1.8983575,1,Oc1ccc2[nH]ccc2c1,,True
2,c1ccc2cc(O)ccc2[nH]1,-3.009319,1,c1ccc2cc(O)ccc2[nH]1,,False
3,c12ccccc1cc(O)cc2,-3.503967,1,c12ccccc1cc(O)cc2,,True
4,Oc1ccc2cc[nH]c2c1,-3.5669532,1,Oc1ccc2cc[nH]c2c1,,True
5,c1ccc2[nH]ccc2c1,-3.638542,1,c1ccc2[nH]ccc2c1,,True
6,c1ccc2[nH]c(Cl)cc2c1,-3.7578223,1,c1ccc2[nH]c(Cl)cc2c1,,True
7,c1ccc2c(cc[nH]2)c1,-4.128557,1,c1ccc2c(cc[nH]2)c1,,True
8,c1cc2c(cc1)cc(O)cc2,-4.424331,1,c1cc2c(cc1)cc(O)cc2,,True
9,c12c(cccc1)cc(O)cc2,-4.482807,1,c12c(cccc1)cc(O)cc2,,True
10,c1c2c(ccc1)cc(O)cc2,-4.571008,1,c1c2c(ccc1)cc(O)cc2,,True
