epoch,phase,e_rmse_mol,e_rmse_atom,f_rmse,e_mae,f_mae
0,train,98.731911,7.068402,0.94343,86.023445,0.484394
0,valid,53.644054,4.325978,0.986926,49.694866,0.595893
1,train,27.264168,2.037315,0.949924,16.915148,0.504191
1,valid,2.095486,0.172695,0.684629,1.480593,0.377253
2,train,2.058471,0.154816,0.753016,1.44186,0.338387
2,valid,1.487123,0.122333,0.629452,1.113429,0.335885
3,train,2.279995,0.161659,0.728729,1.56961,0.313343
3,valid,2.626394,0.213256,0.604581,2.323134,0.323208
4,train,1.923039,0.144544,0.714132,1.382579,0.300158
4,valid,1.48108,0.12163,0.585418,1.113361,0.308999
5,train,1.43557,0.104952,0.703535,0.864329,0.289163
5,valid,1.236384,0.101378,0.567655,0.934874,0.297101
6,train,1.312878,0.097497,0.693902,0.79553,0.281072
6,valid,0.967419,0.079754,0.556306,0.685333,0.292997
7,train,1.218335,0.09081,0.68888,0.696461,0.275843
7,valid,0.975026,0.080316,0.551126,0.732564,0.288158
8,train,1.199237,0.088587,0.687023,0.669944,0.273166
8,valid,0.950472,0.078367,0.550893,0.674389,0.2881
9,train,1.532194,0.111786,0.683566,1.017091,0.272606
9,valid,1.050339,0.085947,0.53089,0.8705,0.281032
10,train,2.041972,0.139606,0.676196,1.351717,0.266829
10,valid,1.131884,0.092933,0.516317,0.827771,0.271382
11,train,1.360371,0.099407,0.668114,0.877252,0.258661
11,valid,0.923126,0.075537,0.509989,0.649461,0.267197
12,train,1.625052,0.114774,0.6642,1.045061,0.256052
12,valid,1.80292,0.146633,0.496628,1.63439,0.261433
13,train,1.63021,0.120411,0.656168,1.157894,0.245862
13,valid,1.306001,0.106629,0.48565,1.14596,0.25198
14,train,1.406733,0.101009,0.653975,0.94319,0.245636
14,valid,1.088915,0.088672,0.479673,0.854446,0.248078
15,train,1.761747,0.118456,0.646499,1.224342,0.235504
15,valid,1.627503,0.132176,0.472757,1.513175,0.240126
16,train,1.607314,0.114859,0.643588,1.170819,0.232849
16,valid,0.743279,0.061152,0.466076,0.564372,0.238146
17,train,1.884762,0.118023,0.643169,1.068845,0.235739
17,valid,1.149605,0.094319,0.464505,0.975295,0.23968
18,train,1.345062,0.089841,0.638945,0.790113,0.235801
18,valid,0.682764,0.056212,0.446456,0.485406,0.233006
19,train,1.697513,0.123495,0.63277,1.11493,0.230575
19,valid,0.740659,0.060952,0.453528,0.601294,0.24608
20,train,1.362567,0.103678,0.641927,0.9712,0.244895
